
--------------------------------------------------------------------------------
WORKER run_id=7 method=thrifty_dagger kind=thrifty
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
THRIFTY_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[14:39:38] [iil-baseline] round 1: pool=20 successes=12 failures=8 correction_sr=0.600
[14:39:38] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[14:39:38] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 7 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 4 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 4, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.5545 top1=0.918 | val loss=0.0330 | t=1.1s  *
[finetune_replay] ep  21/90 | train loss=0.0009 top1=1.000 | val loss=0.0030 | t=0.1s
[finetune_replay] ep  22/90 | train loss=0.0008 top1=1.000 | val loss=0.0031 | t=0.1s
[finetune_replay] ep  23/90 | train loss=0.0009 top1=1.000 | val loss=0.0025 | t=0.1s
[finetune_replay] ep  24/90 | train loss=0.0008 top1=1.000 | val loss=0.0021 | t=0.2s  *
[finetune_replay] ep  25/90 | train loss=0.0008 top1=1.000 | val loss=0.0021 | t=0.1s  *
[finetune_replay] ep  26/90 | train loss=0.0011 top1=1.000 | val loss=0.0021 | t=0.1s
[finetune_replay] ep  27/90 | train loss=0.0008 top1=1.000 | val loss=0.0023 | t=0.1s
[finetune_replay] ep  28/90 | train loss=0.0011 top1=1.000 | val loss=0.0024 | t=0.1s
[finetune_replay] ep  29/90 | train loss=0.0006 top1=1.000 | val loss=0.0027 | t=0.1s
[finetune_replay] ep  30/90 | train loss=0.0008 top1=1.000 | val loss=0.0025 | t=0.1s
[finetune_replay] ep  31/90 | train loss=0.0008 top1=1.000 | val loss=0.0021 | t=0.2s  *
[finetune_replay] ep  32/90 | train loss=0.0006 top1=1.000 | val loss=0.0020 | t=0.1s  *
[finetune_replay] ep  33/90 | train loss=0.0007 top1=1.000 | val loss=0.0019 | t=0.1s  *
[finetune_replay] ep  34/90 | train loss=0.0007 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  35/90 | train loss=0.0008 top1=1.000 | val loss=0.0024 | t=0.2s
[finetune_replay] ep  36/90 | train loss=0.0008 top1=1.000 | val loss=0.0024 | t=0.1s
[finetune_replay] ep  37/90 | train loss=0.0006 top1=1.000 | val loss=0.0022 | t=0.1s
[finetune_replay] ep  38/90 | train loss=0.0007 top1=1.000 | val loss=0.0019 | t=0.2s  *
[finetune_replay] ep  39/90 | train loss=0.0007 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  40/90 | train loss=0.0007 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  41/90 | train loss=0.0006 top1=1.000 | val loss=0.0023 | t=0.2s
[finetune_replay] ep  42/90 | train loss=0.0006 top1=1.000 | val loss=0.0024 | t=0.2s
[finetune_replay] ep  43/90 | train loss=0.0005 top1=1.000 | val loss=0.0022 | t=0.1s
[finetune_replay] ep  44/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  45/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  46/90 | train loss=0.0007 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  47/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  48/90 | train loss=0.0006 top1=1.000 | val loss=0.0021 | t=0.1s
[finetune_replay] ep  49/90 | train loss=0.0006 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  50/90 | train loss=0.0004 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  51/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  52/90 | train loss=0.0006 top1=1.000 | val loss=0.0021 | t=0.1s
[finetune_replay] ep  53/90 | train loss=0.0005 top1=1.000 | val loss=0.0021 | t=0.2s
[finetune_replay] ep  54/90 | train loss=0.0007 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  55/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  56/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  57/90 | train loss=0.0006 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  58/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  59/90 | train loss=0.0004 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  60/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s  *
[finetune_replay] ep  61/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  62/90 | train loss=0.0004 top1=1.000 | val loss=0.0019 | t=0.1s  *
[finetune_replay] ep  63/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  64/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s  *
[finetune_replay] ep  65/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  66/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.2s  *
[finetune_replay] ep  67/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  68/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  69/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  70/90 | train loss=0.0006 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  71/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  72/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  73/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  74/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  75/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  76/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  77/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  78/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  79/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  80/90 | train loss=0.0004 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  81/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  82/90 | train loss=0.0006 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  83/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  84/90 | train loss=0.0004 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  85/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  86/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  87/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  88/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  89/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  90/90 | train loss=0.0004 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] DONE best_val_loss=0.0018 @ epoch 66
[15:06:07] [uncertainty] member 4: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/checkpoints/member_4 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 411 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos/round_007
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos/round_007
[hybrid-dataset] 26 demos -> 134 samples
[hybrid-dataset] 1 demos -> 4 samples
[finetune_replay] sampler audit: {'n_old_samples': 134, 'n_new_samples': 4, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.0606 top1=1.000 | val loss=0.0086 | t=1.1s  *
[finetune_replay] ep   2/90 | train loss=0.0062 top1=1.000 | val loss=0.0155 | t=0.2s
[finetune_replay] ep   3/90 | train loss=0.0095 top1=1.000 | val loss=0.0069 | t=0.2s  *
[finetune_replay] ep   4/90 | train loss=0.0053 top1=1.000 | val loss=0.0052 | t=0.3s  *
[finetune_replay] ep   5/90 | train loss=0.0051 top1=1.000 | val loss=0.0043 | t=0.1s  *
[finetune_replay] ep   6/90 | train loss=0.0025 top1=1.000 | val loss=0.0056 | t=0.2s
[finetune_replay] ep   7/90 | train loss=0.0029 top1=1.000 | val loss=0.0048 | t=0.2s
[finetune_replay] ep   8/90 | train loss=0.0021 top1=1.000 | val loss=0.0041 | t=0.1s  *
[finetune_replay] ep   9/90 | train loss=0.0017 top1=1.000 | val loss=0.0054 | t=0.2s
[finetune_replay] ep  10/90 | train loss=0.0023 top1=1.000 | val loss=0.0037 | t=0.1s  *
[finetune_replay] ep  11/90 | train loss=0.0017 top1=1.000 | val loss=0.0027 | t=0.1s  *
[finetune_replay] ep  12/90 | train loss=0.0016 top1=1.000 | val loss=0.0032 | t=0.1s
[finetune_replay] ep  13/90 | train loss=0.0016 top1=1.000 | val loss=0.0032 | t=0.2s
[finetune_replay] ep  14/90 | train loss=0.0010 top1=1.000 | val loss=0.0031 | t=0.2s
[finetune_replay] ep  15/90 | train loss=0.0011 top1=1.000 | val loss=0.0028 | t=0.2s
[finetune_replay] ep  16/90 | train loss=0.0011 top1=1.000 | val loss=0.0022 | t=0.1s  *
[finetune_replay] ep  17/90 | train loss=0.0011 top1=1.000 | val loss=0.0020 | t=0.2s  *
[finetune_replay] ep  18/90 | train loss=0.0012 top1=1.000 | val loss=0.0021 | t=0.2s
[finetune_replay] ep  19/90 | train loss=0.0009 top1=1.000 | val loss=0.0023 | t=0.2s
[finetune_replay] ep  20/90 | train loss=0.0009 top1=1.000 | val loss=0.0024 | t=0.2s
[finetune_replay] ep  21/90 | train loss=0.0007 top1=1.000 | val loss=0.0024 | t=0.2s
[finetune_replay] ep  22/90 | train loss=0.0010 top1=1.000 | val loss=0.0023 | t=0.1s
[finetune_replay] ep  23/90 | train loss=0.0009 top1=1.000 | val loss=0.0022 | t=0.2s
[finetune_replay] ep  24/90 | train loss=0.0009 top1=1.000 | val loss=0.0023 | t=0.1s
[finetune_replay] ep  25/90 | train loss=0.0009 top1=1.000 | val loss=0.0024 | t=0.2s
[finetune_replay] ep  26/90 | train loss=0.0007 top1=1.000 | val loss=0.0024 | t=0.2s
[finetune_replay] ep  27/90 | train loss=0.0008 top1=1.000 | val loss=0.0024 | t=0.1s
[finetune_replay] ep  28/90 | train loss=0.0007 top1=1.000 | val loss=0.0023 | t=0.1s
[finetune_replay] ep  29/90 | train loss=0.0007 top1=1.000 | val loss=0.0022 | t=0.1s
[finetune_replay] ep  30/90 | train loss=0.0007 top1=1.000 | val loss=0.0021 | t=0.1s
[finetune_replay] ep  31/90 | train loss=0.0007 top1=1.000 | val loss=0.0019 | t=0.2s  *
[finetune_replay] ep  32/90 | train loss=0.0006 top1=1.000 | val loss=0.0018 | t=0.2s  *
[finetune_replay] ep  33/90 | train loss=0.0006 top1=1.000 | val loss=0.0018 | t=0.1s  *
[finetune_replay] ep  34/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  35/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  36/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  37/90 | train loss=0.0008 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  38/90 | train loss=0.0006 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  39/90 | train loss=0.0007 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  40/90 | train loss=0.0006 top1=1.000 | val loss=0.0020 | t=0.2s
[finetune_replay] ep  41/90 | train loss=0.0005 top1=1.000 | val loss=0.0020 | t=0.1s
[finetune_replay] ep  42/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  43/90 | train loss=0.0007 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  44/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  45/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  46/90 | train loss=0.0007 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  47/90 | train loss=0.0006 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  48/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  49/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  50/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  51/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  52/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  53/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.2s
[finetune_replay] ep  54/90 | train loss=0.0006 top1=1.000 | val loss=0.0017 | t=0.1s  *
[finetune_replay] ep  55/90 | train loss=0.0005 top1=1.000 | val loss=0.0017 | t=0.1s
[finetune_replay] ep  56/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.2s
[finetune_replay] ep  57/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  58/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  59/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  60/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.2s
[finetune_replay] ep  61/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.2s
[finetune_replay] ep  62/90 | train loss=0.0005 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  63/90 | train loss=0.0006 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  64/90 | train loss=0.0004 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  65/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  66/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  67/90 | train loss=0.0004 top1=1.000 | val loss=0.0017 | t=0.1s
[finetune_replay] ep  68/90 | train loss=0.0004 top1=1.000 | val loss=0.0017 | t=0.1s  *
[finetune_replay] ep  69/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  70/90 | train loss=0.0006 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  71/90 | train loss=0.0003 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  72/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  73/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  74/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  75/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  76/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  77/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  78/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  79/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  80/90 | train loss=0.0006 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  81/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  82/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  83/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  84/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  85/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  86/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  87/90 | train loss=0.0004 top1=1.000 | val loss=0.0019 | t=0.1s
[finetune_replay] ep  88/90 | train loss=0.0004 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  89/90 | train loss=0.0005 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] ep  90/90 | train loss=0.0006 top1=1.000 | val loss=0.0018 | t=0.1s
[finetune_replay] DONE best_val_loss=0.0017 @ epoch 68
[15:07:16] [iil-baseline] round 7: heldout_sr=0.875

--------------------------------------------------------------------------------
THRIFTY_DAGGER ROUND 8  (remaining budget = 8)
--------------------------------------------------------------------------------
[15:07:28] [iil-baseline] round 8: pool=20 successes=17 failures=3 correction_sr=0.850
[15:07:28] [iil-baseline] round 8: picked=1 saved=1 cum_extras=8/15
[15:07:28] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 7 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos/round_008
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos/round_008
[hybrid-dataset] 27 demos -> 138 samples
[hybrid-dataset] 1 demos -> 4 samples
[finetune_replay] sampler audit: {'n_old_samples': 138, 'n_new_samples': 4, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.0442 top1=1.000 | val loss=0.1581 | t=0.9s  *
[finetune_replay] ep   2/90 | train loss=0.0042 top1=1.000 | val loss=0.0127 | t=0.2s  *
[finetune_replay] ep   3/90 | train loss=0.0011 top1=1.000 | val loss=0.0069 | t=0.2s  *
[finetune_replay] ep   4/90 | train loss=0.0023 top1=1.000 | val loss=0.0184 | t=0.2s
[finetune_replay] ep   5/90 | train loss=0.0011 top1=1.000 | val loss=0.0761 | t=0.3s
[finetune_replay] ep   6/90 | train loss=0.0008 top1=1.000 | val loss=0.1361 | t=0.1s
[finetune_replay] ep   7/90 | train loss=0.0013 top1=1.000 | val loss=0.1075 | t=0.1s
[finetune_replay] ep   8/90 | train loss=0.0008 top1=1.000 | val loss=0.0492 | t=0.1s
[finetune_replay] ep   9/90 | train loss=0.0007 top1=1.000 | val loss=0.0288 | t=0.2s
[finetune_replay] ep  10/90 | train loss=0.0006 top1=1.000 | val loss=0.0265 | t=0.1s
[finetune_replay] ep  11/90 | train loss=0.0005 top1=1.000 | val loss=0.0315 | t=0.2s
[finetune_replay] ep  12/90 | train loss=0.0005 top1=1.000 | val loss=0.0446 | t=0.3s
[finetune_replay] ep  13/90 | train loss=0.0005 top1=1.000 | val loss=0.0534 | t=0.1s
[finetune_replay] ep  14/90 | train loss=0.0004 top1=1.000 | val loss=0.0543 | t=0.2s
[finetune_replay] ep  15/90 | train loss=0.0006 top1=1.000 | val loss=0.0475 | t=0.2s
[finetune_replay] ep  16/90 | train loss=0.0005 top1=1.000 | val loss=0.0416 | t=0.1s
[finetune_replay] ep  17/90 | train loss=0.0005 top1=1.000 | val loss=0.0428 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0004 top1=1.000 | val loss=0.0375 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0004 top1=1.000 | val loss=0.0304 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0004 top1=1.000 | val loss=0.0274 | t=0.2s
[finetune_replay] ep  21/90 | train loss=0.0005 top1=1.000 | val loss=0.0304 | t=0.1s
[finetune_replay] ep  22/90 | train loss=0.0004 top1=1.000 | val loss=0.0365 | t=0.1s
[finetune_replay] ep  23/90 | train loss=0.0003 top1=1.000 | val loss=0.0389 | t=0.1s
[finetune_replay] ep  24/90 | train loss=0.0004 top1=1.000 | val loss=0.0369 | t=0.1s
[finetune_replay] ep  25/90 | train loss=0.0004 top1=1.000 | val loss=0.0309 | t=0.1s
[finetune_replay] ep  26/90 | train loss=0.0004 top1=1.000 | val loss=0.0315 | t=0.1s
[finetune_replay] ep  27/90 | train loss=0.0004 top1=1.000 | val loss=0.0311 | t=0.1s
[finetune_replay] ep  28/90 | train loss=0.0004 top1=1.000 | val loss=0.0292 | t=0.1s
[finetune_replay] ep  29/90 | train loss=0.0003 top1=1.000 | val loss=0.0250 | t=0.1s
[finetune_replay] ep  30/90 | train loss=0.0003 top1=1.000 | val loss=0.0242 | t=0.1s
[finetune_replay] ep  31/90 | train loss=0.0003 top1=1.000 | val loss=0.0251 | t=0.1s
[finetune_replay] ep  32/90 | train loss=0.0003 top1=1.000 | val loss=0.0251 | t=0.1s
[finetune_replay] ep  33/90 | train loss=0.0003 top1=1.000 | val loss=0.0233 | t=0.1s
[finetune_replay] ep  34/90 | train loss=0.0003 top1=1.000 | val loss=0.0208 | t=0.1s
[finetune_replay] ep  35/90 | train loss=0.0003 top1=1.000 | val loss=0.0194 | t=0.1s
[finetune_replay] ep  36/90 | train loss=0.0002 top1=1.000 | val loss=0.0205 | t=0.1s
[finetune_replay] ep  37/90 | train loss=0.0003 top1=1.000 | val loss=0.0235 | t=0.1s
[finetune_replay] ep  38/90 | train loss=0.0003 top1=1.000 | val loss=0.0252 | t=0.2s
[finetune_replay] ep  39/90 | train loss=0.0003 top1=1.000 | val loss=0.0242 | t=0.1s
[finetune_replay] ep  40/90 | train loss=0.0002 top1=1.000 | val loss=0.0221 | t=0.1s
[finetune_replay] ep  41/90 | train loss=0.0002 top1=1.000 | val loss=0.0195 | t=0.2s
[finetune_replay] ep  42/90 | train loss=0.0003 top1=1.000 | val loss=0.0184 | t=0.1s
[finetune_replay] ep  43/90 | train loss=0.0002 top1=1.000 | val loss=0.0192 | t=0.2s
[finetune_replay] ep  44/90 | train loss=0.0002 top1=1.000 | val loss=0.0239 | t=0.2s
[finetune_replay] ep  45/90 | train loss=0.0003 top1=1.000 | val loss=0.0281 | t=0.1s
[finetune_replay] ep  46/90 | train loss=0.0003 top1=1.000 | val loss=0.0279 | t=0.2s
[finetune_replay] ep  47/90 | train loss=0.0003 top1=1.000 | val loss=0.0236 | t=0.1s
[finetune_replay] ep  48/90 | train loss=0.0003 top1=1.000 | val loss=0.0193 | t=0.2s
[finetune_replay] ep  49/90 | train loss=0.0003 top1=1.000 | val loss=0.0196 | t=0.1s
[finetune_replay] ep  50/90 | train loss=0.0002 top1=1.000 | val loss=0.0208 | t=0.2s
[finetune_replay] ep  51/90 | train loss=0.0002 top1=1.000 | val loss=0.0224 | t=0.1s
[finetune_replay] ep  52/90 | train loss=0.0003 top1=1.000 | val loss=0.0237 | t=0.1s
[finetune_replay] ep  53/90 | train loss=0.0003 top1=1.000 | val loss=0.0238 | t=0.1s
[finetune_replay] ep  54/90 | train loss=0.0003 top1=1.000 | val loss=0.0226 | t=0.1s
[finetune_replay] ep  55/90 | train loss=0.0003 top1=1.000 | val loss=0.0209 | t=0.1s
[finetune_replay] ep  56/90 | train loss=0.0002 top1=1.000 | val loss=0.0186 | t=0.1s
[finetune_replay] ep  57/90 | train loss=0.0002 top1=1.000 | val loss=0.0169 | t=0.1s
[finetune_replay] ep  58/90 | train loss=0.0003 top1=1.000 | val loss=0.0176 | t=0.1s
[finetune_replay] ep  59/90 | train loss=0.0003 top1=1.000 | val loss=0.0184 | t=0.1s
[finetune_replay] ep  60/90 | train loss=0.0002 top1=1.000 | val loss=0.0194 | t=0.1s
[finetune_replay] ep  61/90 | train loss=0.0003 top1=1.000 | val loss=0.0200 | t=0.1s
